year,category,laureate_type,full_name,birth_year,birth_city,birth_country,gender,prize,motivation
1977,Physics,Individual,John Hasbrouck van Vleck,1899,"Middletown, CT",United States of America,Male,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
1978,Chemistry,Individual,Peter D. Mitchell,1920,Mitcham,United Kingdom,Male,The Nobel Prize in Chemistry 1978,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory"""
1978,Economics,Individual,Herbert A. Simon,1916,"Milwaukee, WI",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1978,"""for his pioneering research into the decision-making process within economic organizations"""
1978,Literature,Individual,Isaac Bashevis Singer,1904,Leoncin,Russian Empire (Poland),Male,The Nobel Prize in Literature 1978,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life"""
1978,Medicine,Individual,Werner Arber,1929,GrÃ¤nichen,Switzerland,Male,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
1978,Medicine,Individual,Daniel Nathans,1928,"Wilmington, DE",United States of America,Male,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
1978,Medicine,Individual,Hamilton O. Smith,1931,"New York, NY",United States of America,Male,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
1978,Peace,Individual,Mohamed Anwar al-Sadat,1918,Mit Abu al-Kawm,Egypt,Male,The Nobel Peace Prize 1978,NA
1978,Peace,Individual,Menachem Begin,1913,Brest Litovsk,Russian Empire (Belarus),Male,The Nobel Peace Prize 1978,NA
1978,Physics,Individual,Pyotr Leonidovich Kapitsa,1894,Kronshtadt,Russian Empire (Russia),Male,The Nobel Prize in Physics 1978,"""for his basic inventions and discoveries in the area of low-temperature physics"""
1978,Physics,Individual,Arno Allan Penzias,1933,Munich,Germany,Male,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation"""
1978,Physics,Individual,Robert Woodrow Wilson,1936,"Houston, TX",United States of America,Male,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation"""
1979,Chemistry,Individual,Herbert C. Brown,1912,London,United Kingdom,Male,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"""
1979,Chemistry,Individual,Georg Wittig,1897,Berlin,Germany,Male,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"""
1979,Economics,Individual,Theodore W. Schultz,1902,"Arlington, SD",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries"""
1979,Economics,Individual,Sir Arthur Lewis,1915,Castries,British West Indies (Saint Lucia),Male,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries"""
1979,Literature,Individual,Odysseus Elytis,1911,IrÃ¡klion,Crete (Greece),Male,The Nobel Prize in Literature 1979,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness"""
1979,Medicine,Individual,Allan M. Cormack,1924,Johannesburg,South Africa,Male,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography"""
1979,Medicine,Individual,Godfrey N. Hounsfield,1919,Newark,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography"""
1979,Peace,Organization,Mother Teresa,1910,Uskup (Skopje),Ottoman Empire (Republic of Macedonia),Female,The Nobel Peace Prize 1979,NA
1979,Physics,Individual,Sheldon Lee Glashow,1932,"New York, NY",United States of America,Male,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
1979,Physics,Individual,Abdus Salam,1926,Jhang Maghi&#257;na,India (Pakistan),Male,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
1979,Physics,Individual,Steven Weinberg,1933,"New York, NY",United States of America,Male,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
1980,Chemistry,Individual,Frederick Sanger,1918,Rendcombe,United Kingdom,Male,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids"""
1980,Chemistry,Individual,Paul Berg,1926,"New York, NY",United States of America,Male,The Nobel Prize in Chemistry 1980,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA"""
1980,Chemistry,Individual,Walter Gilbert,1932,"Boston, MA",United States of America,Male,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids"""
1980,Economics,Individual,Lawrence R. Klein,1920,"Omaha, NE",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1980,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies"""
1980,Literature,Individual,Czeslaw Milosz,1911,&#346;eteniai,Russian Empire (Lithuania),Male,The Nobel Prize in Literature 1980,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts"""
1980,Medicine,Individual,Baruj Benacerraf,1920,Caracas,Venezuela,Male,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
1980,Medicine,Individual,Jean Dausset,1916,Toulouse,France,Male,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
1980,Medicine,Individual,George D. Snell,1903,"Bradford, MA",United States of America,Male,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
1980,Peace,Individual,Adolfo PÃ©rez Esquivel,1931,Buenos Aires,Argentina,Male,The Nobel Peace Prize 1980,NA
1980,Physics,Individual,James Watson Cronin,1931,"Chicago, IL",United States of America,Male,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
1980,Physics,Individual,Val Logsdon Fitch,1923,"Merriman, NE",United States of America,Male,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
1981,Chemistry,Individual,Kenichi Fukui,1918,Nara,Japan,Male,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions"""
1981,Chemistry,Individual,Roald Hoffmann,1937,Zloczov,Poland (Ukraine),Male,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions"""
1981,Economics,Individual,James Tobin,1918,"Champaign, IL",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1981,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices"""
1981,Literature,Individual,Elias Canetti,1905,Ruse,Bulgaria,Male,The Nobel Prize in Literature 1981,"""for writings marked by a broad outlook, a wealth of ideas and artistic power"""
1981,Medicine,Individual,Roger W. Sperry,1913,"Hartford, CT",United States of America,Male,The Nobel Prize in Physiology or Medicine 1981,"""for his discoveries concerning the functional specialization of the cerebral hemispheres"""
1981,Medicine,Individual,David H. Hubel,1926,"Windsor, ON",Canada,Male,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system"""
1981,Medicine,Individual,Torsten N. Wiesel,1924,Uppsala,Sweden,Male,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system"""
1981,Peace,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),NA,NA,NA,NA,The Nobel Peace Prize 1981,NA
1981,Physics,Individual,Nicolaas Bloembergen,1920,Dordrecht,Netherlands,Male,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy"""
1981,Physics,Individual,Arthur Leonard Schawlow,1921,"Mount Verno, NY",United States of America,Male,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy"""
1981,Physics,Individual,Kai M. Siegbahn,1918,Lund,Sweden,Male,The Nobel Prize in Physics 1981,"""for his contribution to the development of high-resolution electron spectroscopy"""
1982,Chemistry,Individual,Aaron Klug,1926,Zelvas,Lithuania,Male,The Nobel Prize in Chemistry 1982,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"""
1982,Economics,Individual,George J. Stigler,1911,"Renton, WA",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1982,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation"""
1982,Literature,Individual,Gabriel GarcÃ­a MÃ¡rquez,1927,Aracataca,Colombia,Male,The Nobel Prize in Literature 1982,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts"""
1982,Medicine,Individual,Sune K. BergstrÃ¶m,1916,Stockholm,Sweden,Male,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances"""
1982,Medicine,Individual,Bengt I. Samuelsson,1934,Halmstad,Sweden,Male,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances"""
1982,Medicine,Individual,John R. Vane,1927,Tardebigg,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances"""
1982,Peace,Individual,Alva Myrdal,1902,Uppsala,Sweden,Female,The Nobel Peace Prize 1982,NA
1982,Peace,Individual,Alfonso GarcÃ­a Robles,1911,Zamora,Mexico,Male,The Nobel Peace Prize 1982,NA
1982,Physics,Individual,Kenneth G. Wilson,1936,"Waltham, MA",United States of America,Male,The Nobel Prize in Physics 1982,"""for his theory for critical phenomena in connection with phase transitions"""
1983,Chemistry,Individual,Henry Taube,1915,Neudorf,Canada,Male,The Nobel Prize in Chemistry 1983,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes"""
1983,Economics,Individual,Gerard Debreu,1921,Calais,France,Male,The Sveriges Riksbank Prize in Economic Sciences 1983,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium"""
1983,Literature,Individual,William Golding,1911,St. Columb Minor,United Kingdom,Male,The Nobel Prize in Literature 1983,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"""
1983,Medicine,Individual,Barbara McClintock,1902,"Hartford, CT",United States of America,Female,The Nobel Prize in Physiology or Medicine 1983,"""for her discovery of mobile genetic elements"""
1983,Peace,Individual,Lech Walesa,1943,Popowo,Poland,Male,The Nobel Peace Prize 1983,NA
1983,Physics,Individual,Subramanyan Chandrasekhar,1910,Lahore,India (Pakistan),Male,The Nobel Prize in Physics 1983,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"""
1983,Physics,Individual,William Alfred Fowler,1911,"Pittsburgh, PA",United States of America,Male,The Nobel Prize in Physics 1983,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe"""
1984,Chemistry,Individual,Robert Bruce Merrifield,1921,"Fort Worth, TX",United States of America,Male,The Nobel Prize in Chemistry 1984,"""for his development of methodology for chemical synthesis on a solid matrix"""
1984,Economics,Individual,Richard Stone,1913,London,United Kingdom,Male,The Sveriges Riksbank Prize in Economic Sciences 1984,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis"""
1984,Literature,Individual,Jaroslav Seifert,1901,Prague,Austria-Hungary (Czech Republic),Male,The Nobel Prize in Literature 1984,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"""
1984,Medicine,Individual,Niels K. Jerne,1911,London,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
1984,Medicine,Individual,Georges J.F. KÃ¶hler,1946,Munich,Germany,Male,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
1984,Medicine,Individual,CÃ©sar Milstein,1927,Bahia Blanca,Argentina,Male,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
1984,Peace,Individual,Desmond Mpilo Tutu,1931,Klerksdorp,South Africa,Male,The Nobel Peace Prize 1984,NA
1984,Physics,Individual,Carlo Rubbia,1934,Gorizia,Italy,Male,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"""
1984,Physics,Individual,Simon van der Meer,1925,the Hague,Netherlands,Male,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"""
1985,Chemistry,Individual,Herbert A. Hauptman,1917,"New York, NY",United States of America,Male,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures"""
1985,Chemistry,Individual,Jerome Karle,1918,"New York, NY",United States of America,Male,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures"""
1985,Economics,Individual,Franco Modigliani,1918,Rome,Italy,Male,The Sveriges Riksbank Prize in Economic Sciences 1985,"""for his pioneering analyses of saving and of financial markets"""
1985,Literature,Individual,Claude Simon,1913,Tananarive (Antananarivo),Madagascar,Male,The Nobel Prize in Literature 1985,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition"""
1985,Medicine,Individual,Michael S. Brown,1941,"New York, NY",United States of America,Male,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism"""
1985,Medicine,Individual,Joseph L. Goldstein,1940,"Sumter, SC",United States of America,Male,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism"""
1985,Peace,Organization,International Physicians for the Prevention of Nuclear War,NA,NA,NA,NA,The Nobel Peace Prize 1985,NA
1985,Physics,Individual,Klaus von Klitzing,1943,Schroda,German-occupied Poland (Poland),Male,The Nobel Prize in Physics 1985,"""for the discovery of the quantized Hall effect"""
1986,Chemistry,Individual,Dudley R. Herschbach,1932,"San JosÃ©, CA",United States of America,Male,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes"""
1986,Chemistry,Individual,Yuan T. Lee,1936,Hsinchu,Taiwan,Male,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes"""
1986,Chemistry,Individual,John C. Polanyi,1929,Berlin,Germany,Male,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes"""
1986,Economics,Individual,James M. Buchanan Jr.,1919,"Murfreesboro, TN",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1986,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making"""
1986,Literature,Individual,Wole Soyinka,1934,Abeokuta,Nigeria,Male,The Nobel Prize in Literature 1986,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence"""
1986,Medicine,Individual,Stanley Cohen,1922,"Brooklyn, NY",United States of America,Male,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors"""
1986,Medicine,Individual,Rita Levi-Montalcini,1909,Turin,Italy,Female,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors"""
1986,Peace,Individual,Elie Wiesel,1928,Sighet,Romania,Male,The Nobel Peace Prize 1986,NA
1986,Physics,Individual,Ernst Ruska,1906,Heidelberg,Germany,Male,The Nobel Prize in Physics 1986,"""for his fundamental work in electron optics, and for the design of the first electron microscope"""
1986,Physics,Individual,Gerd Binnig,1947,Frankfurt-on-the-Main,West Germany (Germany),Male,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope"""
1986,Physics,Individual,Heinrich Rohrer,1933,Buchs,Switzerland,Male,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope"""
1987,Chemistry,Individual,Donald J. Cram,1919,"Chester, VT",United States of America,Male,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
1987,Chemistry,Individual,Jean-Marie Lehn,1939,Rosheim,France,Male,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
1987,Chemistry,Individual,Charles J. Pedersen,1904,Pusan,Korea (South Korea),Male,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
1987,Economics,Individual,Robert M. Solow,1924,"Brooklyn, NY",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1987,"""for his contributions to the theory of economic growth"""
1987,Literature,Individual,Joseph Brodsky,1940,Leningrad (Saint Petersburg),Union of Soviet Socialist Republics (Russia),Male,The Nobel Prize in Literature 1987,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity"""
1987,Medicine,Individual,Susumu Tonegawa,1939,Nagoya,Japan,Male,The Nobel Prize in Physiology or Medicine 1987,"""for his discovery of the genetic principle for generation of antibody diversity"""
1987,Peace,Individual,Oscar Arias SÃ¡nchez,1941,Heredia,Costa Rica,Male,The Nobel Peace Prize 1987,"""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year"""
1987,Physics,Individual,J. Georg Bednorz,1950,Neuenkirchen,West Germany (Germany),Male,The Nobel Prize in Physics 1987,"""for their important break-through in the discovery of superconductivity in ceramic materials"""
1987,Physics,Individual,K. Alexander MÃ¼ller,1927,Basel,Switzerland,Male,The Nobel Prize in Physics 1987,"""for their important break-through in the discovery of superconductivity in ceramic materials"""
1988,Chemistry,Individual,Johann Deisenhofer,1943,Zusamaltheim,Germany,Male,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
1988,Chemistry,Individual,Robert Huber,1937,Munich,Germany,Male,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
1988,Chemistry,Individual,Hartmut Michel,1948,Ludwigsburg,West Germany (Germany),Male,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
1988,Economics,Individual,Maurice Allais,1911,Paris,France,Male,The Sveriges Riksbank Prize in Economic Sciences 1988,"""for his pioneering contributions to the theory of markets and efficient utilization of resources"""
1988,Literature,Individual,Naguib Mahfouz,1911,Cairo,Egypt,Male,The Nobel Prize in Literature 1988,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind"""
1988,Medicine,Individual,Sir James W. Black,1924,Uddingston,Scotland,Male,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment"""
1988,Medicine,Individual,Gertrude B. Elion,1918,"New York, NY",United States of America,Female,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment"""
1988,Medicine,Individual,George H. Hitchings,1905,"Hoquiam, WA",United States of America,Male,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment"""
1988,Peace,Organization,United Nations Peacekeeping Forces,NA,NA,NA,NA,The Nobel Peace Prize 1988,NA
1988,Physics,Individual,Leon M. Lederman,1922,"New York, NY",United States of America,Male,The Nobel Prize in Physics 1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
1988,Physics,Individual,Melvin Schwartz,1932,"New York, NY",United States of America,Male,The Nobel Prize in Physics 1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
1988,Physics,Individual,Jack Steinberger,1921,Bad Kissingen,Germany,Male,The Nobel Prize in Physics 1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
1989,Chemistry,Individual,Sidney Altman,1939,Montreal,Canada,Male,The Nobel Prize in Chemistry 1989,"""for their discovery of catalytic properties of RNA"""
1989,Chemistry,Individual,Thomas R. Cech,1947,"Chicago, IL",United States of America,Male,The Nobel Prize in Chemistry 1989,"""for their discovery of catalytic properties of RNA"""
1989,Economics,Individual,Trygve Haavelmo,1911,Skedsmo,Norway,Male,The Sveriges Riksbank Prize in Economic Sciences 1989,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures"""
1989,Literature,Individual,Camilo JosÃ© Cela,1916,Iria Flavia,Spain,Male,The Nobel Prize in Literature 1989,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"""
1989,Medicine,Individual,J. Michael Bishop,1936,"York, PA",United States of America,Male,The Nobel Prize in Physiology or Medicine 1989,"""for their discovery of the cellular origin of retroviral oncogenes"""
1989,Medicine,Individual,Harold E. Varmus,1939,"Oceanside, NY",United States of America,Male,The Nobel Prize in Physiology or Medicine 1989,"""for their discovery of the cellular origin of retroviral oncogenes"""
1989,Peace,Organization,The 14th Dalai Lama (Tenzin Gyatso),1935,Taktser,Tibet (People's Republic of China),Male,The Nobel Peace Prize 1989,NA
1989,Physics,Individual,Norman F. Ramsey,1915,"Washington, DC",United States of America,Male,The Nobel Prize in Physics 1989,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"""
1989,Physics,Individual,Hans G. Dehmelt,1922,GÃ¶rlitz,Prussia (Germany),Male,The Nobel Prize in Physics 1989,"""for the development of the ion trap technique"""
1989,Physics,Individual,Wolfgang Paul,1913,Lorenzkirch,Germany,Male,The Nobel Prize in Physics 1989,"""for the development of the ion trap technique"""
1990,Chemistry,Individual,Elias James Corey,1928,"Methuen, MA",United States of America,Male,The Nobel Prize in Chemistry 1990,"""for his development of the theory and methodology of organic synthesis"""
1990,Economics,Individual,Harry M. Markowitz,1927,"Chicago, IL",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1990,"""for their pioneering work in the theory of financial economics"""
1990,Economics,Individual,Merton H. Miller,1923,"Boston, MA",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1990,"""for their pioneering work in the theory of financial economics"""
1990,Economics,Individual,William F. Sharpe,1934,"Boston, MA",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1990,"""for their pioneering work in the theory of financial economics"""
1990,Literature,Individual,Octavio Paz,1914,Mexico City,Mexico,Male,The Nobel Prize in Literature 1990,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"""
1990,Medicine,Individual,Joseph E. Murray,1919,"Milford, MA",United States of America,Male,The Nobel Prize in Physiology or Medicine 1990,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease"""
1990,Medicine,Individual,E. Donnall Thomas,1920,"Mart, TX",United States of America,Male,The Nobel Prize in Physiology or Medicine 1990,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease"""
1990,Peace,Individual,Mikhail Sergeyevich Gorbachev,1931,Privolnoye,Union of Soviet Socialist Republics (Russia),Male,The Nobel Peace Prize 1990,"""for his leading role in the peace process which today characterizes important parts of the international community"""
1990,Physics,Individual,Jerome I. Friedman,1930,"Chicago, IL",United States of America,Male,The Nobel Prize in Physics 1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
1990,Physics,Individual,Henry W. Kendall,1926,"Boston, MA",United States of America,Male,The Nobel Prize in Physics 1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
1990,Physics,Individual,Richard E. Taylor,1929,"Medicine Hat, Alberta",Canada,Male,The Nobel Prize in Physics 1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
1991,Chemistry,Individual,Richard R. Ernst,1933,Winterthur,Switzerland,Male,The Nobel Prize in Chemistry 1991,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy"""
1991,Economics,Individual,Ronald H. Coase,1910,Willesden,United Kingdom,Male,The Sveriges Riksbank Prize in Economic Sciences 1991,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy"""
1991,Literature,Individual,Nadine Gordimer,1923,Springs,South Africa,Female,The Nobel Prize in Literature 1991,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity"""
1991,Medicine,Individual,Erwin Neher,1944,Landsberg,Germany,Male,The Nobel Prize in Physiology or Medicine 1991,"""for their discoveries concerning the function of single ion channels in cells"""
1991,Medicine,Individual,Bert Sakmann,1942,Stuttgart,Germany,Male,The Nobel Prize in Physiology or Medicine 1991,"""for their discoveries concerning the function of single ion channels in cells"""
1991,Peace,Organization,Aung San Suu Kyi,1945,Rangoon (Yangon),Burma (Myanmar),Female,The Nobel Peace Prize 1991,"""for her non-violent struggle for democracy and human rights"""
1991,Physics,Individual,Pierre-Gilles de Gennes,1932,Paris,France,Male,The Nobel Prize in Physics 1991,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"""
1992,Chemistry,Individual,Rudolph A. Marcus,1923,Montreal,Canada,Male,The Nobel Prize in Chemistry 1992,"""for his contributions to the theory of electron transfer reactions in chemical systems"""
1992,Economics,Individual,Gary S. Becker,1930,"Pottsville, PA",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1992,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"""
1992,Literature,Individual,Derek Walcott,1930,Castries,Saint Lucia,Male,The Nobel Prize in Literature 1992,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"""
1992,Medicine,Individual,Edmond H. Fischer,1920,Shanghai,China,Male,The Nobel Prize in Physiology or Medicine 1992,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"""
1992,Medicine,Individual,Edwin G. Krebs,1918,"Lansing, IA",United States of America,Male,The Nobel Prize in Physiology or Medicine 1992,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"""
1992,Peace,Individual,Rigoberta MenchÃº Tum,1959,Aldea Chimel,Guatemala,Female,The Nobel Peace Prize 1992,"""in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples"""
1992,Physics,Individual,Georges Charpak,1924,Dabrovica,Poland,Male,The Nobel Prize in Physics 1992,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber"""
1993,Chemistry,Individual,Kary B. Mullis,1944,"Lenoir, NC",United States of America,Male,The Nobel Prize in Chemistry 1993,"""for contributions to the developments of methods within DNA-based chemistry; for his invention of the polymerase chain reaction (PCR) method"""
1993,Chemistry,Individual,Michael Smith,1932,Blackpool,United Kingdom,Male,The Nobel Prize in Chemistry 1993,"""for contributions to the developments of methods within DNA-based chemistry; for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"""
1993,Economics,Individual,Robert W. Fogel,1927,"New York, NY",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1993,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"""
1993,Economics,Individual,Douglass C. North,1920,"Cambridge, MA",United States of America,Male,The Sveriges Riksbank Prize in Economic Sciences 1993,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"""
1993,Literature,Individual,Toni Morrison,1931,"Lorain, OH",United States of America,Female,The Nobel Prize in Literature 1993,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"""
1993,Medicine,Individual,Richard J. Roberts,1943,Derby,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1993,"""for their discoveries of split genes"""
